2023-10-12 10:39:05|error|5|183.250.229.89|138|post|adminapi|/adminapi/file/upload|{"pid":""}|{"file":"/www/wwwroot/qingyuan/app/services/system/attachment/SystemAttachmentServices.php","line":151,"message":"不合法的文件后缀","code":0}
2023-10-12 10:39:20|error|0|175.24.212.185|125|*|api|/api/wechat/serve|{"signature":"922ddf40647704c97dc9c2a5d9e1f8d360f7f3a8","timestamp":"1697078360","nonce":"786050001","openid":"oKEE863XyM2WI0kHkwavH4n6JFZM","encrypt_type":"aes","msg_signature":"15f8d2ef4d2b0b513709bbb10b85ac3efba281e5"}|{"file":"/www/wwwroot/qingyuan/vendor/overtrue/wechat/src/Encryption/Encryptor.php","line":264,"message":"Configuration mission, 'aes_key' is required.","code":-40007}
2023-10-12 10:39:24|error|0|81.69.103.236|172|*|api|/api/wechat/serve|{"signature":"a226a8ca3543bbce2f5a0415a03f132edacaae64","timestamp":"1697078363","nonce":"1167645465","openid":"oKEE863XyM2WI0kHkwavH4n6JFZM","encrypt_type":"aes","msg_signature":"76b59e07b59d8ac6090b61ba0cd33798d8614107"}|{"file":"/www/wwwroot/qingyuan/vendor/overtrue/wechat/src/Encryption/Encryptor.php","line":264,"message":"Configuration mission, 'aes_key' is required.","code":-40007}
2023-10-12 10:39:25|error|0|175.24.211.157|128|*|api|/api/wechat/serve|{"signature":"432c0e6a3b37f07f645c4fc099da1d82d492f912","timestamp":"1697078365","nonce":"1348515144","openid":"oKEE863XyM2WI0kHkwavH4n6JFZM","encrypt_type":"aes","msg_signature":"d1686c58ac9b7241e4b2a65fb26fd855187aedf3"}|{"file":"/www/wwwroot/qingyuan/vendor/overtrue/wechat/src/Encryption/Encryptor.php","line":264,"message":"Configuration mission, 'aes_key' is required.","code":-40007}
2023-10-12 10:39:27|error|0|81.69.103.205|127|*|api|/api/wechat/serve|{"signature":"9b160c8013dc89dcba6c7efedd43c0aea4b1746e","timestamp":"1697078367","nonce":"239419542","openid":"oKEE863XyM2WI0kHkwavH4n6JFZM","encrypt_type":"aes","msg_signature":"035d865a85fb6caa58a17ea2967746e68219c1a3"}|{"file":"/www/wwwroot/qingyuan/vendor/overtrue/wechat/src/Encryption/Encryptor.php","line":264,"message":"Configuration mission, 'aes_key' is required.","code":-40007}
2023-10-12 10:39:28|error|0|81.69.103.147|125|*|api|/api/wechat/serve|{"signature":"db2cb9f02cad667ec7d273b8018ecba72d91d616","timestamp":"1697078368","nonce":"1930754711","openid":"oKEE863XyM2WI0kHkwavH4n6JFZM","encrypt_type":"aes","msg_signature":"739a39d32bbf0b21cc1fbc273e9642b544f46570"}|{"file":"/www/wwwroot/qingyuan/vendor/overtrue/wechat/src/Encryption/Encryptor.php","line":264,"message":"Configuration mission, 'aes_key' is required.","code":-40007}
2023-10-12 10:39:29|error|0|175.24.214.150|127|*|api|/api/wechat/serve|{"signature":"b6e3f33422a587551f76ac6a99b93f368a5bc804","timestamp":"1697078369","nonce":"1079666477","openid":"oKEE863XyM2WI0kHkwavH4n6JFZM","encrypt_type":"aes","msg_signature":"d10c94720fa613e8f3b9d7c11f281b7feb5efd1d"}|{"file":"/www/wwwroot/qingyuan/vendor/overtrue/wechat/src/Encryption/Encryptor.php","line":264,"message":"Configuration mission, 'aes_key' is required.","code":-40007}
2023-10-12 10:39:36|error|0|81.69.101.193|130|*|api|/api/wechat/serve|{"signature":"709c04609b51ae47db9dcffa1326b0ed10972853","timestamp":"1697078376","nonce":"1057865171","openid":"oKEE863XyM2WI0kHkwavH4n6JFZM","encrypt_type":"aes","msg_signature":"0568742a5e90ae3840a5a1d15b4abae7d5f5ace6"}|{"file":"/www/wwwroot/qingyuan/vendor/overtrue/wechat/src/Encryption/Encryptor.php","line":264,"message":"Configuration mission, 'aes_key' is required.","code":-40007}
2023-10-12 10:39:43|error|0|81.69.103.147|125|*|api|/api/wechat/serve|{"signature":"a6f38d7ca1a4885ddfc7a45556820354361b7c2a","timestamp":"1697078383","nonce":"945329231","openid":"oKEE863XyM2WI0kHkwavH4n6JFZM","encrypt_type":"aes","msg_signature":"aab4e7a394e0c759d142893a403307b4bdbb9bcd"}|{"file":"/www/wwwroot/qingyuan/vendor/overtrue/wechat/src/Encryption/Encryptor.php","line":264,"message":"Configuration mission, 'aes_key' is required.","code":-40007}
2023-10-12 10:40:01|error|0|175.24.212.195|178|*|api|/api/wechat/serve|{"signature":"42efe851e3df6e595ad14c5a447733cfd3b4d8f5","timestamp":"1697078400","nonce":"1108313043","openid":"oKEE865t8BRVqocUxokJKABWU0gw","encrypt_type":"aes","msg_signature":"1d31dee34e5fedddd326f628b5b01461610b32c5"}|{"file":"/www/wwwroot/qingyuan/vendor/overtrue/wechat/src/Encryption/Encryptor.php","line":264,"message":"Configuration mission, 'aes_key' is required.","code":-40007}
2023-10-12 10:41:45|error|0|175.24.214.150|125|*|api|/api/wechat/serve|{"signature":"ad91abe37fdf4d839e8fcfee83e618ce4ffa59cf","timestamp":"1697078505","nonce":"797254748","openid":"oKEE863XyM2WI0kHkwavH4n6JFZM","encrypt_type":"aes","msg_signature":"094838e261150d53a16a1f90287f60694afd3a99"}|{"file":"/www/wwwroot/qingyuan/vendor/overtrue/wechat/src/Encryption/Encryptor.php","line":264,"message":"Configuration mission, 'aes_key' is required.","code":-40007}
2023-10-12 10:41:53|error|0|81.69.101.237|126|*|api|/api/wechat/serve|{"signature":"af312270b88dd38633212c1b87188bd27d043c2a","timestamp":"1697078513","nonce":"71672359","openid":"oKEE863XyM2WI0kHkwavH4n6JFZM","encrypt_type":"aes","msg_signature":"6c635dc853cb2e9226b6d23a89f1b462be41b6b4"}|{"file":"/www/wwwroot/qingyuan/vendor/overtrue/wechat/src/Encryption/Encryptor.php","line":264,"message":"Configuration mission, 'aes_key' is required.","code":-40007}
2023-10-12 10:47:18|error|0|81.69.103.147|126|*|api|/api/wechat/serve|{"signature":"0eea8a4d4b399c6c55ef4f6979984dcc6e09ada8","timestamp":"1697078838","nonce":"1878608005","openid":"oKEE863XyM2WI0kHkwavH4n6JFZM","encrypt_type":"aes","msg_signature":"d3d685c15be427695af451aca87ddb9a68a8bbc5"}|{"file":"/www/wwwroot/qingyuan/vendor/overtrue/wechat/src/Encryption/Encryptor.php","line":264,"message":"Configuration mission, 'aes_key' is required.","code":-40007}
2023-10-12 10:47:19|error|0|175.24.211.157|133|*|api|/api/wechat/serve|{"signature":"5d4c498cb627fc21a0dd894a1b3e9ea357bd7010","timestamp":"1697078839","nonce":"985607045","openid":"oKEE863XyM2WI0kHkwavH4n6JFZM","encrypt_type":"aes","msg_signature":"14f0ba88316b911ac3f385f4ffca4433865ff79c"}|{"file":"/www/wwwroot/qingyuan/vendor/overtrue/wechat/src/Encryption/Encryptor.php","line":264,"message":"Configuration mission, 'aes_key' is required.","code":-40007}
2023-10-12 10:47:24|error|0|81.69.101.193|125|*|api|/api/wechat/serve|{"signature":"6883bc1519f2b867ed02f7d97fb31d5319b1f716","timestamp":"1697078844","nonce":"1784637312","openid":"oKEE863XyM2WI0kHkwavH4n6JFZM","encrypt_type":"aes","msg_signature":"14b6358348cbace31b6cef2dd6d3026aca54db4b"}|{"file":"/www/wwwroot/qingyuan/vendor/overtrue/wechat/src/Encryption/Encryptor.php","line":264,"message":"Configuration mission, 'aes_key' is required.","code":-40007}
2023-10-12 10:49:32|error|0|175.24.212.195|126|*|api|/api/wechat/serve|{"signature":"2afda5fabe27120855a05fcf8e3e83d19028e1e5","timestamp":"1697078971","nonce":"943900588","openid":"oKEE863XyM2WI0kHkwavH4n6JFZM","encrypt_type":"aes","msg_signature":"4e576a25bfbe5eedc70e7b6401ba8a56aa8c651a"}|{"file":"/www/wwwroot/qingyuan/vendor/overtrue/wechat/src/Encryption/Encryptor.php","line":264,"message":"Configuration mission, 'aes_key' is required.","code":-40007}
